"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2023","234.86","224.22","235.23","223.01","164.49M","4.58%"
"07-06-2023","224.57","228.00","230.83","223.20","185.71M","1.47%"
"06-06-2023","221.31","216.14","221.91","212.53","146.91M","1.70%"
"05-06-2023","217.61","217.80","221.29","214.52","151.14M","1.70%"
"02-06-2023","213.97","210.15","217.25","209.75","164.40M","3.11%"
"01-06-2023","207.52","202.59","209.80","199.37","148.03M","1.76%"
"31-05-2023","203.93","199.78","203.95","195.12","150.71M","1.38%"
"30-05-2023","201.16","200.10","204.48","197.53","128.82M","4.14%"
"26-05-2023","193.17","184.62","198.60","184.53","162.06M","4.72%"
"25-05-2023","184.47","186.54","186.78","180.58","96.87M","0.86%"
"24-05-2023","182.90","182.23","184.22","178.22","137.60M","-1.54%"
"23-05-2023","185.77","186.20","192.96","185.26","156.95M","-1.64%"
"22-05-2023","188.87","180.70","189.32","180.11","132.00M","4.85%"
"19-05-2023","180.14","177.17","181.95","176.31","136.20M","1.84%"
"18-05-2023","176.89","174.22","177.06","172.45","109.52M","1.74%"
"17-05-2023","173.86","168.41","174.50","167.18","125.47M","4.41%"
"16-05-2023","166.52","165.65","169.52","164.35","98.29M","0.10%"
"15-05-2023","166.35","167.65","169.76","164.55","105.59M","-0.97%"
"12-05-2023","167.98","176.07","177.38","167.23","157.85M","-2.38%"
"11-05-2023","172.08","168.70","173.57","166.79","103.89M","2.10%"
"10-05-2023","168.54","172.55","174.43","166.68","119.84M","-0.36%"
"09-05-2023","169.15","168.95","169.82","166.56","88.97M","-1.54%"
"08-05-2023","171.79","173.72","173.80","169.19","112.25M","1.02%"
"05-05-2023","170.06","163.97","170.79","163.51","107.61M","5.50%"
"04-05-2023","161.20","162.71","162.95","159.65","95.11M","0.37%"
"03-05-2023","160.61","160.01","165.00","159.91","119.73M","0.19%"
"02-05-2023","160.31","161.88","165.49","158.93","128.26M","-0.94%"
"01-05-2023","161.83","163.17","163.28","158.83","109.02M","-1.51%"
"28-04-2023","164.31","160.90","165.00","157.32","122.52M","2.57%"
"27-04-2023","160.19","152.64","160.48","152.37","127.02M","4.19%"
"26-04-2023","153.75","160.29","160.67","153.14","153.36M","-4.31%"
"25-04-2023","160.67","159.82","163.47","158.75","122.00M","-1.16%"
"24-04-2023","162.55","164.65","165.65","158.61","140.01M","-1.53%"
"21-04-2023","165.08","164.80","166.00","161.32","123.54M","1.28%"
"20-04-2023","162.99","166.16","169.70","160.56","210.97M","-9.75%"
"19-04-2023","180.59","179.10","183.50","177.65","125.73M","-2.02%"
"18-04-2023","184.31","187.15","187.69","183.58","92.07M","-1.46%"
"17-04-2023","187.04","186.32","189.69","182.69","116.66M","1.10%"
"14-04-2023","185.00","183.95","186.28","182.01","96.44M","-0.48%"
"13-04-2023","185.90","182.96","186.50","180.94","112.93M","2.97%"
"12-04-2023","180.54","190.74","191.58","180.31","150.26M","-3.35%"
"11-04-2023","186.79","186.69","189.19","185.65","115.77M","1.24%"
"10-04-2023","184.51","179.94","185.10","176.11","142.16M","-0.30%"
"06-04-2023","185.06","183.08","186.39","179.74","123.86M","-0.25%"
"05-04-2023","185.52","190.51","190.68","183.76","133.88M","-3.67%"
"04-04-2023","192.58","197.32","198.74","190.32","126.46M","-1.12%"
"03-04-2023","194.77","199.91","202.69","192.20","169.55M","-6.12%"
"31-03-2023","207.46","197.53","207.79","197.20","170.22M","6.24%"
"30-03-2023","195.28","195.58","197.33","194.42","110.25M","0.72%"
"29-03-2023","193.88","193.13","195.29","189.44","123.66M","2.48%"
"28-03-2023","189.19","192.00","192.35","185.43","98.66M","-1.37%"
"27-03-2023","191.81","194.41","197.39","189.94","120.85M","0.74%"
"24-03-2023","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"23-03-2023","192.22","195.26","199.31","188.65","144.19M","0.56%"
"22-03-2023","191.15","199.30","200.66","190.95","150.38M","-3.25%"
"21-03-2023","197.58","188.28","198.00","188.04","153.39M","7.82%"
"20-03-2023","183.25","178.08","186.44","176.35","129.68M","1.73%"
"17-03-2023","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"16-03-2023","184.13","180.37","185.81","178.84","121.37M","2.04%"
"15-03-2023","180.45","180.80","182.34","176.03","146.00M","-1.53%"
"14-03-2023","183.26","177.31","183.80","177.14","143.72M","5.03%"
"13-03-2023","174.48","167.46","177.35","163.91","167.79M","0.60%"
"10-03-2023","173.44","175.13","178.29","168.44","191.49M","0.30%"
"09-03-2023","172.92","180.25","185.18","172.51","170.02M","-4.99%"
"08-03-2023","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"07-03-2023","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"06-03-2023","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"03-03-2023","197.79","194.79","200.48","192.88","154.19M","3.61%"
"02-03-2023","190.90","186.74","193.75","186.01","181.98M","-5.85%"
"01-03-2023","202.77","206.21","207.20","198.52","156.85M","-1.43%"
"28-02-2023","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"27-02-2023","207.63","202.03","209.42","201.26","161.03M","5.46%"
"24-02-2023","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"23-02-2023","202.07","203.91","205.14","196.33","146.36M","0.60%"
"22-02-2023","200.86","197.93","201.99","191.78","191.83M","1.77%"
"21-02-2023","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"17-02-2023","208.31","199.99","208.44","197.50","213.74M","3.10%"
"16-02-2023","202.04","210.78","217.65","201.84","229.59M","-5.69%"
"15-02-2023","214.24","211.76","214.66","206.11","182.11M","2.38%"
"14-02-2023","209.25","191.94","209.82","189.44","216.46M","7.51%"
"13-02-2023","194.64","194.41","196.30","187.61","172.48M","-1.14%"
"10-02-2023","196.89","202.23","206.20","192.89","204.75M","-5.03%"
"09-02-2023","207.32","207.77","214.00","204.77","215.43M","3.00%"
"08-02-2023","201.29","196.10","203.00","194.31","180.67M","2.28%"
"07-02-2023","196.81","196.43","197.50","189.55","186.01M","1.05%"
"06-02-2023","194.76","193.01","198.17","189.92","186.19M","2.52%"
"03-02-2023","189.98","183.95","199.00","183.69","232.66M","0.91%"
"02-02-2023","188.27","187.32","196.75","182.61","217.45M","3.78%"
"01-02-2023","181.41","173.89","183.80","169.93","213.81M","4.73%"
"31-01-2023","173.22","164.57","174.30","162.78","196.81M","3.94%"
"30-01-2023","166.66","178.05","179.77","166.50","230.88M","-6.32%"
"27-01-2023","177.90","162.43","180.68","161.17","306.59M","11.00%"
"26-01-2023","160.27","159.96","161.42","154.76","234.82M","10.97%"
"25-01-2023","144.43","141.90","146.41","138.07","192.73M","0.38%"
"24-01-2023","143.89","143.00","146.50","141.10","158.70M","0.10%"
"23-01-2023","143.75","135.87","145.38","134.27","203.12M","7.74%"
"20-01-2023","133.42","128.68","133.51","127.35","138.86M","4.91%"
"19-01-2023","127.17","127.26","129.99","124.31","170.29M","-1.25%"
"18-01-2023","128.78","136.55","136.68","127.01","195.68M","-2.06%"
"17-01-2023","131.49","125.69","131.70","125.02","186.48M","7.43%"
"13-01-2023","122.40","116.55","122.63","115.60","180.71M","-0.94%"
"12-01-2023","123.56","122.56","124.13","117.00","169.40M","0.28%"
"11-01-2023","123.22","122.09","125.95","120.51","183.81M","3.68%"
"10-01-2023","118.85","121.07","122.76","114.92","167.64M","-0.77%"
"09-01-2023","119.77","118.96","123.52","117.11","190.28M","5.93%"
"06-01-2023","113.06","103.00","114.39","101.81","220.91M","2.47%"
"05-01-2023","110.34","110.51","111.75","107.16","157.99M","-2.90%"
"04-01-2023","113.64","109.11","114.59","107.52","180.39M","5.12%"
"03-01-2023","108.10","118.47","118.80","104.64","231.40M","-12.24%"
"30-12-2022","123.18","119.95","124.48","119.75","157.78M","1.12%"
"29-12-2022","121.82","120.39","123.57","117.50","221.92M","8.08%"
"28-12-2022","112.71","110.35","116.27","108.24","221.07M","3.31%"
"27-12-2022","109.10","117.50","119.67","108.76","208.64M","-11.41%"
"23-12-2022","123.15","126.37","128.62","121.02","166.99M","-1.76%"
"22-12-2022","125.35","136.00","136.63","122.26","210.09M","-8.88%"
"21-12-2022","137.57","139.34","141.26","135.89","145.42M","-0.17%"
"20-12-2022","137.80","146.05","148.47","137.66","159.56M","-8.05%"
"19-12-2022","149.87","154.00","155.25","145.82","139.39M","-0.24%"
"16-12-2022","150.23","159.63","160.99","150.04","139.03M","-4.72%"
"15-12-2022","157.67","153.44","160.93","153.28","122.33M","0.55%"
"14-12-2022","156.80","159.25","161.62","155.31","140.68M","-2.58%"
"13-12-2022","160.95","174.87","175.05","156.91","175.86M","-4.09%"
"12-12-2022","167.82","176.10","177.37","167.52","109.79M","-6.27%"
"09-12-2022","179.05","173.84","182.50","173.36","104.87M","3.23%"
"08-12-2022","173.44","172.20","175.20","169.06","97.62M","-0.34%"
"07-12-2022","174.04","175.03","179.38","172.22","84.21M","-3.21%"
"06-12-2022","179.82","181.21","183.65","175.33","92.15M","-1.44%"
"05-12-2022","182.45","189.44","191.27","180.55","93.12M","-6.37%"
"02-12-2022","194.86","191.78","196.25","191.11","73.65M","0.08%"
"01-12-2022","194.70","197.08","198.92","191.80","80.05M","0.00%"
"30-11-2022","194.70","182.43","194.76","180.63","109.19M","7.67%"
"29-11-2022","180.83","184.99","186.38","178.75","83.36M","-1.14%"
"28-11-2022","182.92","179.96","188.50","179.00","93.04M","0.03%"
"25-11-2022","182.86","185.06","185.20","180.63","50.67M","-0.19%"
"23-11-2022","183.20","173.57","183.62","172.50","109.54M","7.82%"
"22-11-2022","169.91","168.63","170.92","166.18","78.45M","1.22%"
"21-11-2022","167.87","175.85","176.77","167.54","92.88M","-6.84%"
"18-11-2022","180.19","185.05","185.19","176.55","76.05M","-1.63%"
"17-11-2022","183.17","183.96","186.16","180.90","64.34M","-2.01%"
"16-11-2022","186.92","191.51","192.57","185.66","66.57M","-3.86%"
"15-11-2022","194.42","195.88","200.82","192.06","91.29M","1.82%"
"14-11-2022","190.95","192.77","195.73","186.34","92.23M","-2.56%"
"11-11-2022","195.97","186.00","196.52","182.59","114.40M","2.75%"
"10-11-2022","190.72","189.90","191.00","180.03","132.70M","7.39%"
"09-11-2022","177.59","190.77","195.89","177.12","127.06M","-7.17%"
"08-11-2022","191.30","194.02","195.20","186.75","128.80M","-2.93%"
"07-11-2022","197.08","208.65","208.90","196.66","93.92M","-5.01%"
"04-11-2022","207.47","222.60","223.80","203.08","98.62M","-3.64%"
"03-11-2022","215.31","211.36","221.20","210.14","56.54M","0.15%"
"02-11-2022","214.98","226.04","227.87","214.82","63.07M","-5.64%"
"01-11-2022","227.82","234.05","237.40","227.28","62.69M","0.12%"
"31-10-2022","227.54","226.19","229.85","221.94","61.55M","-0.43%"
"28-10-2022","228.52","225.40","228.86","216.35","69.15M","1.52%"
"27-10-2022","225.09","229.77","233.81","222.85","61.64M","0.20%"
"26-10-2022","224.64","219.40","230.60","218.20","85.33M","1.00%"
"25-10-2022","222.41","210.10","224.35","210.00","96.51M","5.29%"
"24-10-2022","211.25","205.82","213.50","198.59","100.45M","-1.49%"
"21-10-2022","214.44","206.41","214.66","203.80","75.71M","3.45%"
"20-10-2022","207.28","208.28","215.55","202.00","117.80M","-6.65%"
"19-10-2022","222.04","219.80","222.93","217.78","66.57M","0.84%"
"18-10-2022","220.19","229.50","229.82","217.25","75.89M","0.38%"
"17-10-2022","219.35","210.04","221.86","209.45","79.43M","7.01%"
"14-10-2022","204.99","224.01","226.26","204.16","94.13M","-7.55%"
"13-10-2022","221.72","208.30","222.99","206.22","91.48M","2.06%"
"12-10-2022","217.24","215.33","219.30","211.51","66.86M","0.34%"
"11-10-2022","216.50","220.95","225.75","215.00","77.01M","-2.90%"
"10-10-2022","222.96","223.93","226.99","218.36","67.93M","-0.05%"
"07-10-2022","223.07","233.93","234.57","222.02","83.92M","-6.32%"
"06-10-2022","238.13","239.44","244.58","235.35","69.30M","-1.11%"
"05-10-2022","240.81","245.01","246.67","233.27","86.98M","-3.46%"
"04-10-2022","249.44","250.52","257.50","242.01","109.58M","2.90%"
"03-10-2022","242.40","254.50","255.16","241.01","98.36M","-8.61%"
"30-09-2022","265.25","266.14","275.57","262.47","67.73M","-1.10%"
"29-09-2022","268.21","282.76","283.65","265.78","77.62M","-6.81%"
"28-09-2022","287.81","283.08","289.00","277.57","54.67M","1.72%"
"27-09-2022","282.94","283.84","288.67","277.51","61.93M","2.51%"
"26-09-2022","276.01","271.83","284.09","270.31","58.08M","0.25%"
"23-09-2022","275.33","283.09","284.50","272.82","63.75M","-4.59%"
"22-09-2022","288.59","299.86","301.29","285.82","70.55M","-4.06%"
"21-09-2022","300.80","308.29","313.80","300.63","62.56M","-2.57%"
"20-09-2022","308.73","306.91","313.33","305.58","61.64M","-0.11%"
"19-09-2022","309.07","300.09","309.84","297.80","60.23M","1.89%"
"16-09-2022","303.35","299.61","303.71","295.60","87.09M","-0.13%"
"15-09-2022","303.75","301.83","309.12","300.72","64.80M","0.38%"
"14-09-2022","302.61","292.24","306.00","291.64","72.63M","3.59%"
"13-09-2022","292.13","292.90","297.40","290.40","68.23M","-4.04%"
"12-09-2022","304.42","300.72","305.49","300.40","48.68M","1.58%"
"09-09-2022","299.68","291.67","299.85","291.24","54.47M","3.60%"
"08-09-2022","289.26","281.30","289.50","279.76","53.71M","1.96%"
"07-09-2022","283.70","273.10","283.84","272.27","50.03M","3.38%"
"06-09-2022","274.42","272.67","275.99","265.74","55.86M","1.56%"
"02-09-2022","270.21","281.07","282.35","269.08","50.89M","-2.51%"
"01-09-2022","277.16","272.58","277.58","266.15","54.29M","0.56%"
"31-08-2022","275.61","280.62","281.25","271.81","52.11M","-0.75%"
"30-08-2022","277.70","287.86","288.48","272.65","50.54M","-2.50%"
"29-08-2022","284.82","282.83","287.74","280.70","41.87M","-1.14%"
"26-08-2022","288.09","297.43","302.00","287.47","57.16M","-2.70%"
"25-08-2022","296.07","302.36","302.96","291.60","53.23M","-0.35%"
"24-08-2022","297.10","297.56","303.65","296.50","57.26M","0.22%"
"23-08-2022","296.45","291.45","298.83","287.92","63.99M","2.26%"
"22-08-2022","289.91","291.91","292.40","286.30","55.84M","-2.28%"
"19-08-2022","296.67","299.00","300.36","292.50","61.40M","-2.05%"
"18-08-2022","302.87","306.00","306.50","301.85","47.50M","-0.37%"
"17-08-2022","304.00","303.40","309.66","300.03","68.77M","-0.84%"
"16-08-2022","306.56","311.67","314.67","302.88","88.14M","-0.89%"
"15-08-2022","309.32","301.79","313.13","301.23","89.36M","3.10%"
"12-08-2022","300.03","289.41","300.16","285.03","79.66M","4.68%"
"11-08-2022","286.63","296.51","298.24","285.83","70.16M","-2.62%"
"10-08-2022","294.36","297.07","297.51","283.37","94.92M","3.89%"
"09-08-2022","283.33","290.29","292.40","279.35","86.25M","-2.44%"
"08-08-2022","290.42","295.00","305.20","289.09","99.37M","0.78%"
"05-08-2022","288.17","302.67","304.61","285.54","113.17M","-6.63%"
"04-08-2022","308.63","311.00","313.61","305.00","72.26M","0.40%"
"03-08-2022","307.40","305.00","309.55","301.15","80.09M","2.27%"
"02-08-2022","300.59","294.00","307.83","292.67","95.58M","1.11%"
"01-08-2022","297.28","301.27","311.88","295.00","117.04M","0.04%"
"29-07-2022","297.15","280.70","298.32","279.10","95.31M","5.78%"
"28-07-2022","280.90","280.07","283.30","272.80","84.72M","2.21%"
"27-07-2022","274.82","263.81","275.93","261.79","88.11M","6.17%"
"26-07-2022","258.86","266.51","267.31","256.26","66.82M","-3.57%"
"25-07-2022","268.43","272.22","274.15","267.40","64.07M","-1.40%"
"22-07-2022","272.24","276.22","280.79","270.71","103.47M","0.20%"
"21-07-2022","271.71","255.11","273.27","254.87","142.03M","9.78%"
"20-07-2022","247.50","246.78","250.66","243.48","88.86M","0.80%"
"19-07-2022","245.53","245.00","247.14","236.98","80.89M","2.07%"
"18-07-2022","240.55","244.94","250.52","239.60","82.54M","0.20%"
"15-07-2022","240.07","240.00","243.62","236.89","69.68M","0.74%"
"14-07-2022","238.31","234.90","238.65","229.33","78.56M","0.54%"
"13-07-2022","237.04","225.50","242.06","225.03","97.96M","1.70%"
"12-07-2022","233.07","236.85","239.77","228.37","87.93M","-0.54%"
"11-07-2022","234.34","252.10","253.06","233.63","99.51M","-6.55%"
"08-07-2022","250.76","242.33","254.98","241.16","101.85M","2.54%"
"07-07-2022","244.54","233.92","245.36","232.21","81.93M","5.53%"
"06-07-2022","231.73","230.78","234.56","227.19","71.85M","-0.57%"
"05-07-2022","233.07","223.00","233.15","216.17","84.78M","2.55%"
"01-07-2022","227.26","227.00","230.23","222.12","74.46M","1.24%"
"30-06-2022","224.47","224.51","229.46","218.86","94.60M","-1.76%"
"29-06-2022","228.49","230.50","231.17","222.27","82.90M","-1.79%"
"28-06-2022","232.66","244.48","249.97","232.34","90.67M","-5.00%"
"27-06-2022","244.92","249.37","252.07","242.57","89.18M","-0.32%"
"24-06-2022","245.71","237.47","246.07","236.09","95.77M","4.52%"
"23-06-2022","235.07","237.90","239.32","228.64","104.20M","-0.43%"
"22-06-2022","236.09","234.50","246.83","233.83","101.53M","-0.40%"
"21-06-2022","237.04","224.60","243.58","224.33","122.79M","9.35%"
"17-06-2022","216.76","213.43","220.97","213.20","92.64M","1.72%"
"16-06-2022","213.10","222.74","225.17","208.69","107.39M","-8.54%"
"15-06-2022","233.00","220.92","235.66","218.15","119.13M","5.48%"
"14-06-2022","220.89","218.29","226.33","211.74","97.99M","2.39%"
"13-06-2022","215.74","223.17","226.63","214.68","102.77M","-7.10%"
"10-06-2022","232.23","235.16","239.50","227.91","98.09M","-3.12%"
"09-06-2022","239.71","249.34","255.55","239.33","96.49M","-0.89%"
"08-06-2022","241.87","240.09","249.96","239.18","76.21M","1.25%"
"07-06-2022","238.89","234.00","240.00","230.09","72.81M","0.25%"
"06-06-2022","238.28","244.35","244.87","234.35","84.21M","1.60%"
"03-06-2022","234.52","243.22","247.80","233.42","112.39M","-9.22%"
"02-06-2022","258.33","244.16","264.21","242.07","93.47M","4.68%"
"01-06-2022","246.79","251.72","257.33","243.64","77.25M","-2.36%"
"31-05-2022","252.75","257.95","259.60","244.74","101.91M","-0.18%"
"27-05-2022","253.21","241.08","253.27","240.18","89.30M","7.33%"
"26-05-2022","235.91","220.47","239.56","217.89","106.00M","7.43%"
"25-05-2022","219.60","207.95","223.11","207.67","92.14M","4.88%"
"24-05-2022","209.39","217.84","217.97","206.86","89.09M","-6.93%"
"23-05-2022","224.97","218.34","226.65","212.69","88.90M","1.66%"
"20-05-2022","221.30","238.00","240.53","211.00","144.97M","-6.42%"
"19-05-2022","236.47","235.67","244.67","231.37","90.30M","-0.05%"
"18-05-2022","236.60","248.17","253.50","233.60","87.81M","-6.80%"
"17-05-2022","253.87","249.12","254.83","242.95","80.24M","5.14%"
"16-05-2022","241.46","255.72","256.59","239.70","86.10M","-5.88%"
"13-05-2022","256.53","257.83","262.45","250.52","92.15M","5.71%"
"12-05-2022","242.67","233.67","253.22","226.67","140.31M","-0.82%"
"11-05-2022","244.67","265.00","269.92","242.40","97.23M","-8.25%"
"10-05-2022","266.68","273.10","275.12","258.08","84.40M","1.64%"
"09-05-2022","262.37","278.82","281.88","260.38","90.81M","-9.07%"
"06-05-2022","288.55","295.67","296.00","281.03","72.90M","-0.87%"
"05-05-2022","291.09","313.07","315.20","285.90","92.52M","-8.33%"
"04-05-2022","317.54","301.31","318.50","295.09","81.64M","4.77%"
"03-05-2022","303.08","301.06","308.03","296.20","63.71M","0.70%"
"02-05-2022","300.98","286.92","302.12","282.68","75.78M","3.70%"
"29-04-2022","290.25","300.75","311.47","290.00","88.13M","-0.77%"
"28-04-2022","292.50","299.99","300.00","273.90","124.95M","-0.45%"
"27-04-2022","293.84","299.53","306.00","292.45","76.96M","0.58%"
"26-04-2022","292.14","331.81","333.33","291.67","136.13M","-12.18%"
"25-04-2022","332.67","326.32","336.21","325.10","68.34M","-0.70%"
"22-04-2022","335.02","338.30","344.95","331.33","69.70M","-0.37%"
"21-04-2022","336.26","358.24","364.07","332.14","105.42M","3.23%"
"20-04-2022","325.73","343.33","344.67","325.08","70.71M","-4.96%"
"19-04-2022","342.72","335.02","344.98","331.77","49.85M","2.38%"
"18-04-2022","334.76","329.68","338.31","324.47","51.72M","1.96%"
"14-04-2022","328.33","333.10","337.57","327.40","58.42M","-3.66%"
"13-04-2022","340.79","327.02","342.08","324.37","55.12M","3.59%"
"12-04-2022","328.98","332.55","340.40","325.53","65.98M","1.13%"
"11-04-2022","325.31","326.80","336.16","324.88","59.36M","-4.83%"
"08-04-2022","341.83","347.74","349.48","340.81","55.01M","-3.00%"
"07-04-2022","352.42","350.80","358.86","340.51","79.45M","1.10%"
"06-04-2022","348.59","357.82","359.67","342.57","89.35M","-4.17%"
"05-04-2022","363.75","378.77","384.29","362.43","80.08M","-4.73%"
"04-04-2022","381.82","363.13","383.30","357.51","82.18M","5.61%"
"01-04-2022","361.53","360.38","364.92","355.55","54.26M","0.65%"
"31-03-2022","359.20","364.86","367.71","358.88","48.99M","-1.50%"
"30-03-2022","364.66","363.72","371.32","361.33","59.87M","-0.51%"
"29-03-2022","366.52","369.33","371.59","357.70","73.61M","0.71%"
"28-03-2022","363.95","355.03","365.96","351.20","102.51M","8.04%"
"25-03-2022","336.88","336.00","340.60","332.44","62.03M","-0.32%"
"24-03-2022","337.97","336.58","341.50","329.60","68.92M","1.48%"
"23-03-2022","333.04","326.65","346.90","325.47","120.68M","0.52%"
"22-03-2022","331.33","310.00","332.62","307.25","105.87M","7.91%"
"21-03-2022","307.05","304.99","314.28","302.36","81.98M","1.74%"
"18-03-2022","301.80","291.50","302.62","289.13","100.41M","3.88%"
"17-03-2022","290.53","277.00","291.67","275.24","66.58M","3.73%"
"16-03-2022","280.08","269.67","280.67","267.42","84.03M","4.78%"
"15-03-2022","267.30","258.42","268.52","252.19","66.84M","4.63%"
"14-03-2022","255.46","260.20","266.90","252.01","71.15M","-3.64%"
"11-03-2022","265.12","280.07","281.27","264.59","67.04M","-5.12%"
"10-03-2022","279.43","283.82","284.82","270.12","58.65M","-2.41%"
"09-03-2022","286.32","279.83","286.85","277.34","59.18M","4.19%"
"08-03-2022","274.80","265.18","283.33","260.72","80.40M","2.46%"
"07-03-2022","268.19","285.43","288.71","268.19","72.49M","-4.02%"
"04-03-2022","279.43","283.03","285.22","275.05","67.18M","-0.12%"
"03-03-2022","279.76","292.92","295.48","277.53","61.62M","-4.62%"
"02-03-2022","293.30","290.71","295.49","281.42","74.64M","1.80%"
"01-03-2022","288.12","289.89","296.63","284.59","74.77M","-0.70%"
"28-02-2022","290.14","271.67","292.29","271.57","99.01M","7.48%"
"25-02-2022","269.96","269.74","273.17","260.80","76.07M","1.14%"
"24-02-2022","266.92","233.46","267.49","233.33","135.32M","4.81%"
"23-02-2022","254.68","276.81","278.43","253.52","95.26M","-7.00%"
"22-02-2022","273.84","278.04","285.58","267.03","83.29M","-4.14%"
"18-02-2022","285.66","295.33","295.62","279.20","68.50M","-2.21%"
"17-02-2022","292.12","304.42","306.17","291.37","55.18M","-5.09%"
"16-02-2022","307.80","304.68","308.81","300.40","51.29M","0.10%"
"15-02-2022","307.48","300.00","307.67","297.79","57.65M","5.33%"
"14-02-2022","291.92","287.19","299.63","284.38","67.76M","1.83%"
"11-02-2022","286.67","303.21","305.32","283.57","79.65M","-4.93%"
"10-02-2022","301.52","302.79","314.60","298.90","66.13M","-2.95%"
"09-02-2022","310.67","311.67","315.42","306.67","52.26M","1.09%"
"08-02-2022","307.33","301.84","308.76","298.27","50.73M","1.61%"
"07-02-2022","302.45","307.93","315.92","300.90","60.99M","-1.73%"
"04-02-2022","307.77","299.07","312.17","293.72","73.63M","3.61%"
"03-02-2022","297.05","294.00","312.33","293.51","78.86M","-1.60%"
"02-02-2022","301.89","309.39","310.50","296.47","66.79M","-2.75%"
"01-02-2022","310.42","311.74","314.57","301.67","73.14M","-0.58%"
"31-01-2022","312.24","290.90","312.66","287.35","104.44M","10.68%"
"28-01-2022","282.12","277.19","285.83","264.00","134.79M","2.08%"
"27-01-2022","276.37","311.12","311.80","276.33","147.11M","-11.55%"
"26-01-2022","312.47","317.48","329.23","302.00","104.87M","2.07%"
"25-01-2022","306.13","304.73","317.09","301.07","86.60M","-1.25%"
"24-01-2022","310.00","301.59","311.17","283.82","152.38M","-1.47%"
"21-01-2022","314.63","332.11","334.85","313.50","103.42M","-5.26%"
"20-01-2022","332.09","336.58","347.22","331.33","70.49M","0.06%"
"19-01-2022","331.88","347.23","351.56","331.67","75.44M","-3.38%"
"18-01-2022","343.50","342.20","356.93","338.69","66.99M","-1.82%"
"14-01-2022","349.87","339.96","350.67","337.79","72.92M","1.75%"
"13-01-2022","343.85","369.69","371.87","342.18","97.21M","-6.75%"
"12-01-2022","368.74","359.62","371.61","357.53","83.74M","3.93%"
"11-01-2022","354.80","351.22","358.62","346.27","66.06M","0.59%"
"10-01-2022","352.71","333.33","353.03","326.67","91.81M","3.04%"
"07-01-2022","342.32","360.12","360.31","336.67","84.16M","-3.54%"
"06-01-2022","354.90","359.00","362.67","340.17","90.34M","-2.15%"
"05-01-2022","362.71","382.22","390.11","360.34","80.12M","-5.35%"
"04-01-2022","383.20","396.52","402.67","374.35","100.25M","-4.18%"
"03-01-2022","399.93","382.58","400.36","378.68","104.69M","13.53%"
